법정동명,법정동단위 거주인구,법정동 단위 생활인구수
창전동,5126.0,169097.25173833335
상수동,5126.0,169097.25173833335
하중동,5126.0,169097.25173833335
신정동,9688.6,280159.162885
당인동,5126.0,169097.25173833335
서교동,9041.666666666666,738546.1246430555
동교동,9041.666666666666,738546.1246430555
합정동,17523.0,714377.6645208333
망원동,38790.0,1139548.3851458333
연남동,15953.0,570129.6832458334
성산동,39167.5,1202497.32060625
중동,19925.5,550900.81971875
상암동,31169.0,1460447.1554541667
충정로2가,4118.0,251387.08513750002
충정로3가,4118.0,251387.08513750002
합동,4118.0,251387.08513750002
미근동,4118.0,251387.08513750002
냉천동,3435.8,100931.6737075
천연동,3435.8,100931.6737075
옥천동,3435.8,100931.6737075
영천동,3435.8,100931.6737075
현저동,3435.8,100931.6737075
북아현동,12147.0,838130.550925
홍제동,55152.0,1513291.4312083332
대현동,13063.4,932243.8153591667
대신동,5034.4,345500.3495716667
신촌동,5034.4,345500.3495716667
봉원동,5034.4,345500.3495716667
창천동,5034.4,345500.3495716667
연희동,37628.0,1144866.7063375
홍은동,49923.0,1185720.6419125
북가좌동,49445.0,1557026.4248249999
남가좌동,46368.0,800930.9291625
방배동,114726.0,4221962.217385417
양재동,32517.5,1418331.1737104165
우면동,21528.0,828933.1285541668
원지동,10989.5,589398.04515625
잠원동,48732.0,1750212.9348416668
반포동,70706.0,2987661.623533333
서초동,94750.0,4683455.296547917
내곡동,5855.333333333333,258273.282525
염곡동,5855.333333333333,258273.282525
신원동,5855.333333333333,258273.282525
상왕십리동,6754.75,228294.15180520833
하왕십리동,23434.75,687917.4821052083
홍익동,6754.75,228294.15180520833
도선동,6754.75,228294.15180520833
마장동,22912.0,660573.7434041667
사근동,6950.0,388536.15283958334
행당동,44354.0,1583285.03079375
응봉동,15251.0,333039.1812666667
금호동1가,15164.0,462127.94889166666
금호동2가,11316.5,300949.21975
금호동3가,11316.5,300949.21975
금호동4가,14376.0,379849.6279458333
옥수동,26058.0,839274.2901708334
성수동1가,29225.0,1228755.3445458333
성수동2가,26932.0,1640729.0718125
송정동,16912.0,629084.9310229167
용답동,6198.0,299459.23633125
성북동,4238.0,165045.76789687498
성북동1가,4238.0,165045.76789687498
돈암동,54448.347222222226,1301149.0529383102
동소문동1가,4238.0,165045.76789687498
동소문동2가,2588.222222222222,89541.79245185184
동소문동3가,2588.222222222222,89541.79245185184
동소문동4가,4238.0,165045.76789687498
동소문동5가,2588.222222222222,89541.79245185184
동소문동6가,2018.625,97988.51738020833
동소문동7가,2018.625,97988.51738020833
삼선동1가,2588.222222222222,89541.79245185184
삼선동2가,2588.222222222222,89541.79245185184
삼선동3가,2588.222222222222,89541.79245185184
삼선동4가,2588.222222222222,89541.79245185184
삼선동5가,2588.222222222222,89541.79245185184
동선동1가,2018.625,97988.51738020833
동선동2가,2018.625,97988.51738020833
동선동3가,2018.625,97988.51738020833
동선동4가,2018.625,97988.51738020833
동선동5가,2018.625,97988.51738020833
안암동1가,3409.2000000000003,160370.71328666667
안암동2가,3409.2000000000003,160370.71328666667
안암동3가,3409.2000000000003,160370.71328666667
안암동4가,3409.2000000000003,160370.71328666667
안암동5가,3409.2000000000003,160370.71328666667
보문동4가,2380.857142857143,69438.24553273809
보문동5가,2380.857142857143,69438.24553273809
보문동6가,2380.857142857143,69438.24553273809
보문동7가,2380.857142857143,69438.24553273809
보문동1가,2380.857142857143,69438.24553273809
보문동2가,2380.857142857143,69438.24553273809
보문동3가,2380.857142857143,69438.24553273809
정릉동,71333.5,1793912.2275437498
길음동,45824.0,1359142.5911541667
종암동,40090.0,1123764.4410333333
하월곡동,47063.0,1431197.5192020833
상월곡동,9922.0,339895.46568958333
장위동,53998.0,1223877.9284583332
석관동,35644.0,831384.0581
잠실동,107155.0,3770951.9165791664
신천동,38075.0,1861405.0474666667
풍납동,37930.0,1579584.8199791666
송파동,43302.0,1524119.3652166668
