"행정구역(동읍면)별","5세별","항목","단위","2019.11 월",
"삼청동","90 - 94세","여자인구수[명]","명","9",
"삼청동","95 - 99세","총인구수[명]","명","7",
"삼청동","95 - 99세","남자인구수[명]","명","4",
"삼청동","95 - 99세","여자인구수[명]","명","3",
"삼청동","100+","총인구수[명]","명","8",
"삼청동","100+","남자인구수[명]","명","0",
"삼청동","100+","여자인구수[명]","명","8",
"부암동","계","총인구수[명]","명","10073",
"부암동","계","남자인구수[명]","명","4806",
"부암동","계","여자인구수[명]","명","5267",
"부암동","0 - 4세","총인구수[명]","명","235",
"부암동","0 - 4세","남자인구수[명]","명","113",
"부암동","0 - 4세","여자인구수[명]","명","122",
"부암동","5 - 9세","총인구수[명]","명","359",
"부암동","5 - 9세","남자인구수[명]","명","189",
"부암동","5 - 9세","여자인구수[명]","명","170",
"부암동","10 - 14세","총인구수[명]","명","447",
"부암동","10 - 14세","남자인구수[명]","명","248",
"부암동","10 - 14세","여자인구수[명]","명","199",
"부암동","15 - 19세","총인구수[명]","명","507",
"부암동","15 - 19세","남자인구수[명]","명","272",
"부암동","15 - 19세","여자인구수[명]","명","235",
"부암동","20 - 24세","총인구수[명]","명","635",
"부암동","20 - 24세","남자인구수[명]","명","337",
"부암동","20 - 24세","여자인구수[명]","명","298",
"부암동","25 - 29세","총인구수[명]","명","751",
"부암동","25 - 29세","남자인구수[명]","명","390",
"부암동","25 - 29세","여자인구수[명]","명","361",
"부암동","30 - 34세","총인구수[명]","명","586",
"부암동","30 - 34세","남자인구수[명]","명","268",
"부암동","30 - 34세","여자인구수[명]","명","318",
"부암동","35 - 39세","총인구수[명]","명","670",
"부암동","35 - 39세","남자인구수[명]","명","307",
"부암동","35 - 39세","여자인구수[명]","명","363",
"부암동","40 - 44세","총인구수[명]","명","683",
"부암동","40 - 44세","남자인구수[명]","명","320",
"부암동","40 - 44세","여자인구수[명]","명","363",
"부암동","45 - 49세","총인구수[명]","명","957",
"부암동","45 - 49세","남자인구수[명]","명","443",
"부암동","45 - 49세","여자인구수[명]","명","514",
"부암동","50 - 54세","총인구수[명]","명","904",
"부암동","50 - 54세","남자인구수[명]","명","408",
"부암동","50 - 54세","여자인구수[명]","명","496",
"부암동","55 - 59세","총인구수[명]","명","811",
"부암동","55 - 59세","남자인구수[명]","명","376",
"부암동","55 - 59세","여자인구수[명]","명","435",
"부암동","60 - 64세","총인구수[명]","명","782",
"부암동","60 - 64세","남자인구수[명]","명","366",
"부암동","60 - 64세","여자인구수[명]","명","416",
"부암동","65 - 69세","총인구수[명]","명","479",
"부암동","65 - 69세","남자인구수[명]","명","234",
"부암동","65 - 69세","여자인구수[명]","명","245",
"부암동","70 - 74세","총인구수[명]","명","456",
"부암동","70 - 74세","남자인구수[명]","명","201",
"부암동","70 - 74세","여자인구수[명]","명","255",
"부암동","75 - 79세","총인구수[명]","명","343",
"부암동","75 - 79세","남자인구수[명]","명","151",
"부암동","75 - 79세","여자인구수[명]","명","192",
"부암동","80 - 84세","총인구수[명]","명","259",
"부암동","80 - 84세","남자인구수[명]","명","107",
"부암동","80 - 84세","여자인구수[명]","명","152",
"부암동","85 - 89세","총인구수[명]","명","127",
"부암동","85 - 89세","남자인구수[명]","명","53",
"부암동","85 - 89세","여자인구수[명]","명","74",
"부암동","90 - 94세","총인구수[명]","명","50",
"부암동","90 - 94세","남자인구수[명]","명","13",
"부암동","90 - 94세","여자인구수[명]","명","37",
"부암동","95 - 99세","총인구수[명]","명","22",
"부암동","95 - 99세","남자인구수[명]","명","7",
"부암동","95 - 99세","여자인구수[명]","명","15",
"부암동","100+","총인구수[명]","명","10",
"부암동","100+","남자인구수[명]","명","3",
"부암동","100+","여자인구수[명]","명","7",
"평창동","계","총인구수[명]","명","18674",
"평창동","계","남자인구수[명]","명","8745",
"평창동","계","여자인구수[명]","명","9929",
"평창동","0 - 4세","총인구수[명]","명","504",
"평창동","0 - 4세","남자인구수[명]","명","258",
"평창동","0 - 4세","여자인구수[명]","명","246",
"평창동","5 - 9세","총인구수[명]","명","697",
"평창동","5 - 9세","남자인구수[명]","명","349",
"평창동","5 - 9세","여자인구수[명]","명","348",
"평창동","10 - 14세","총인구수[명]","명","740",
"평창동","10 - 14세","남자인구수[명]","명","385",
"평창동","10 - 14세","여자인구수[명]","명","355",
"평창동","15 - 19세","총인구수[명]","명","1013",
"평창동","15 - 19세","남자인구수[명]","명","522",
"평창동","15 - 19세","여자인구수[명]","명","491",
"평창동","20 - 24세","총인구수[명]","명","1335",
"평창동","20 - 24세","남자인구수[명]","명","669",
